reaction,judgement_time,t0_Mean,lwr_Mean,upr_Mean,t0_Sigma,lwr_Sigma,upr_Sigma
Toxic,180,4.472215216974468,4.334781664123451,4.763432750672209,0.37882165855601263,0.2375256957121466,0.5953397225292482
Toxic,190,4.332974437424573,4.254582837748459,4.522203810968411,0.3143336919039605,0.20475299101034805,0.47951390175818437
Toxic,200,4.225496628181871,4.161909850998757,4.307045951902499,0.2813669670232753,0.19156484918956976,0.3961951054528056
Toxic,210,4.1680100792000925,4.106800548124654,4.235748777356233,0.2812929861692841,0.21069305264253876,0.3795113786198639
Toxic,220,4.130645472290692,4.071550529419411,4.20200600324165,0.2877295634539572,0.2191066313771971,0.38384760222999253
Toxic,230,4.094236847605675,4.0355960030326,4.15366388057853,0.2849937779212505,0.22214333389945334,0.38786004402536584
Toxic,240,4.0669025493806235,4.011252337806196,4.132571241499075,0.2918375150759197,0.2341466214887253,0.3714772673361184
Toxic,250,4.0534215695496405,3.9933246440825734,4.122945051152415,0.3138043755579385,0.2512638876724489,0.40699423955178893
Toxic,260,4.043234326236192,3.990253315994916,4.116411845542573,0.3135098858910795,0.2556134855843742,0.40590905364745233
Toxic,270,4.01949503920657,3.9650468808680612,4.086883171229145,0.30679415514094743,0.24896443767372692,0.3981462014318455
Toxic,280,3.9891071950409,3.936429230200868,4.053604671009319,0.3062656342415127,0.24685597783083005,0.3949653928384901
Toxic,290,3.9739228650700156,3.916831058389125,4.039652631563951,0.29777917698071443,0.24064419151359223,0.37868035154468027
Toxic,300,3.949186520483967,3.900912528453435,4.01092801657798,0.28880093159912973,0.2306676180364404,0.3652732030868527
Toxic,310,3.9397359581680846,3.8798713085798626,3.989958609370765,0.28946795431268413,0.23371532743534787,0.3695131370200729
Toxic,320,3.9360072424140373,3.8782458626938867,3.9917885930653134,0.2947439228960631,0.23854265320604343,0.3797231690505537
Toxic,330,3.9273541534276086,3.8674873636189346,3.9856053993247857,0.2998971212473779,0.24038247244703922,0.3832446711784581
Toxic,340,3.9273541534276086,3.869861128598171,3.984189955068631,0.2998971212473779,0.24686754138656164,0.384449234865304
Toxic,350,3.9273541534276086,3.8673584334594833,3.984183551358939,0.2998971212473779,0.24176570734585204,0.38979284011161636
Toxic,360,3.918510632969876,3.861427797113791,3.9770572747133723,0.3046720927844458,0.24670493928534787,0.3971839145535704
Toxic,370,3.9095341834796744,3.8563891430721173,3.9691005810312743,0.30351606502560735,0.24116316878755323,0.38775243322396125
Toxic,380,3.9095341834796744,3.8528026588272617,3.970315716914156,0.30351606502560735,0.2404508768843099,0.3955215467066998
Toxic,390,3.9095341834796744,3.849091533737405,3.9629269376443785,0.30351606502560735,0.2427190203182755,0.3941472500137325
Toxic,400,3.9095341834796744,3.8480942157863125,3.958765624175147,0.30351606502560735,0.24359659638790004,0.38723987167017465
Toxic,410,3.906764435899723,3.8548393653666237,3.9670545093524265,0.31118696162078463,0.24942660027683228,0.40438715745902143
Toxic,420,3.906764435899723,3.8468548262968083,3.9623055993965246,0.31118696162078463,0.24687663928020062,0.4065376635460141
Toxic,430,3.906764435899723,3.8540769976439333,3.9712568953291454,0.31118696162078463,0.25092824269627195,0.41739697992088803
Toxic,440,3.903198782763528,3.846625024274943,3.9560677187912505,0.30273760090029883,0.2360727636175131,0.38412823326813633
Toxic,450,3.903198782763528,3.8543264222018405,3.959882235323625,0.30273760090029883,0.24563896194137455,0.39334216835141944
Toxic,460,3.898560513329806,3.845128685513483,3.9510338238786016,0.2964756558114064,0.24091212433580805,0.3909476716042281
Toxic,470,3.898560513329806,3.837408398242293,3.9565623727950725,0.2964756558114064,0.23726293849502092,0.4053377283832735
Toxic,480,3.898560513329806,3.8494041575933635,3.959186178809654,0.2964756558114064,0.23622812543744803,0.389588616700463
Toxic,490,3.895270880613477,3.8389875892289234,3.949406910266303,0.2884808595025982,0.23649373645081145,0.36693090815774354
Toxic,500,3.895270880613477,3.841797238652986,3.9536623619289735,0.2884808595025982,0.23521715140632515,0.37896914005915794
Toxic,510,3.895270880613477,3.8357768388901308,3.9504832327476724,0.2884808595025982,0.23201210556796106,0.37129653405382035
Toxic,520,3.895270880613477,3.841813717249441,3.9564174237951235,0.2884808595025982,0.2298357251235951,0.36516466003810233
Toxic,530,3.8908325059087523,3.8410232590286033,3.948669724731171,0.2822805441638212,0.23208184869676612,0.3660503600704239
Toxic,540,3.8908325059087523,3.839171955231467,3.9447741086807198,0.2822805441638212,0.22433918367805236,0.3627845323702975
Toxic,550,3.8908325059087523,3.837373405771452,3.9441098865263453,0.2822805441638212,0.22809843276990388,0.36976944645093845
Toxic,560,3.8908325059087523,3.8343265832113027,3.947797754755236,0.2822805441638212,0.2277835437700968,0.37634630526297935
