reaction,N,ID,Dose,logDose,min_dose,response
TD50,2,5,50,3.912023005428146,3.8836301959085553,1
TD50,2,6,50,3.912023005428146,4.027612296656421,0
TD50,2,7,50,3.912023005428146,4.114750230809987,0
TD50,2,8,50,3.912023005428146,3.598085437140813,1
TD50,2,9,50,3.912023005428146,3.6232168498679824,1
TD50,2,10,50,3.912023005428146,4.1576094570388955,0
TD50,2,11,50,3.912023005428146,3.989314211781956,0
TD50,2,12,50,3.912023005428146,4.237292115003103,0
TD50,2,13,50,3.912023005428146,3.974878488480925,0
TD50,2,14,50,3.912023005428146,4.4028023541575365,0
TD50,2,15,50,3.912023005428146,3.591616260379339,1
TD50,2,1,60,4.0943445622221,3.9377272059387005,1
TD50,2,2,60,4.0943445622221,4.089933544456002,1
TD50,2,3,60,4.0943445622221,4.391140585593352,0
TD50,2,4,60,4.0943445622221,4.540462948529619,0
TD50,2,5,60,4.0943445622221,4.015259478013782,1
TD50,2,6,60,4.0943445622221,4.245279079760966,0
TD50,2,7,60,4.0943445622221,4.367341786707233,0
TD50,2,8,60,4.0943445622221,4.083510420220786,1
TD50,2,9,60,4.0943445622221,4.156377136350158,0
TD50,2,10,60,4.0943445622221,3.6909418697540173,1
TD50,2,11,60,4.0943445622221,4.316232088824219,0
TD50,2,12,60,4.0943445622221,4.421726662860044,0
TD50,2,13,60,4.0943445622221,4.179710423307857,0
TD50,2,14,60,4.0943445622221,3.834352487888067,1
TD50,2,15,60,4.0943445622221,3.3423565507815396,1
TD50,2,1,72,4.276666119016055,4.171346150701709,1
TD50,2,2,72,4.276666119016055,3.5533124531787177,1
TD50,2,3,72,4.276666119016055,4.04798143238375,1
TD50,2,4,72,4.276666119016055,4.239539270297264,1
TD50,2,5,72,4.276666119016055,4.416745376247569,0
TD50,2,6,72,4.276666119016055,3.88887229559299,1
TD50,2,7,72,4.276666119016055,4.111935637017518,1
TD50,2,8,72,4.276666119016055,4.558401648750756,0
TD50,2,9,72,4.276666119016055,4.126682914006403,1
TD50,2,10,72,4.276666119016055,4.489167334041275,0
TD50,2,11,72,4.276666119016055,4.059971878111625,1
TD50,2,12,72,4.276666119016055,4.5584243099038355,0
TD50,2,13,72,4.276666119016055,4.055270628963234,1
TD50,2,14,72,4.276666119016055,3.6539702424695717,1
TD50,2,15,72,4.276666119016055,3.9903855776921806,1
TD50,3,1,34.7,3.5467396869528134,4.142880823548455,0
TD50,3,2,34.7,3.5467396869528134,4.07897545414771,0
TD50,3,3,34.7,3.5467396869528134,4.035195469318776,0
TD50,3,4,34.7,3.5467396869528134,3.907578293013929,0
TD50,3,5,34.7,3.5467396869528134,4.20421061401202,0
TD50,3,6,34.7,3.5467396869528134,4.317782697228945,0
TD50,3,7,34.7,3.5467396869528134,4.087379644806143,0
TD50,3,8,34.7,3.5467396869528134,4.367304523231567,0
TD50,3,9,34.7,3.5467396869528134,4.328157077871893,0
TD50,3,10,34.7,3.5467396869528134,4.351172768303972,0
TD50,3,11,34.7,3.5467396869528134,4.187178468466098,0
TD50,3,12,34.7,3.5467396869528134,4.339740740083518,0
TD50,3,13,34.7,3.5467396869528134,4.097973742399233,0
TD50,3,14,34.7,3.5467396869528134,4.3128426984907975,0
TD50,3,15,34.7,3.5467396869528134,4.387719835830922,0
TD50,3,1,41.7,3.730501128804756,4.340199481488254,0
TD50,3,2,41.7,3.730501128804756,4.215642056456288,0
TD50,3,3,41.7,3.730501128804756,4.389471055360415,0
TD50,3,4,41.7,3.730501128804756,4.811120028859209,0
TD50,3,5,41.7,3.730501128804756,4.319969451476,0
TD50,3,6,41.7,3.730501128804756,3.8108854661448817,0
TD50,3,7,41.7,3.730501128804756,4.421721109003692,0
TD50,3,8,41.7,3.730501128804756,4.020358722465825,0
TD50,3,9,41.7,3.730501128804756,4.136024553964619,0
TD50,3,10,41.7,3.730501128804756,3.807763414971132,0
TD50,3,11,41.7,3.730501128804756,3.6898138061180994,1
TD50,3,12,41.7,3.730501128804756,4.396471118657144,0
TD50,3,13,41.7,3.730501128804756,4.05635867230664,0
TD50,3,14,41.7,3.730501128804756,4.0776542901627835,0
TD50,3,15,41.7,3.730501128804756,4.212095454812274,0
TD50,3,1,50,3.912023005428146,4.366078576856322,0
TD50,3,2,50,3.912023005428146,3.988115123419988,0
TD50,3,3,50,3.912023005428146,4.398063636739252,0
TD50,3,4,50,3.912023005428146,3.7168301899771174,1
TD50,3,5,50,3.912023005428146,4.297510377694849,0
TD50,3,6,50,3.912023005428146,3.8749210219871566,1
TD50,3,7,50,3.912023005428146,4.015383510175033,0
TD50,3,8,50,3.912023005428146,3.815173851103412,1
TD50,3,9,50,3.912023005428146,4.650925984579936,0
TD50,3,10,50,3.912023005428146,3.8466325242082227,1
TD50,3,11,50,3.912023005428146,4.229447731403141,0
TD50,3,12,50,3.912023005428146,3.8031028232915993,1
TD50,3,13,50,3.912023005428146,4.279622285018688,0
TD50,3,14,50,3.912023005428146,4.129707413787188,0
TD50,3,15,50,3.912023005428146,3.9993506269261077,0
TD50,3,1,60,4.0943445622221,3.91429528858203,1
TD50,3,2,60,4.0943445622221,3.591544080875134,1
TD50,3,3,60,4.0943445622221,4.059125375359903,1
TD50,3,4,60,4.0943445622221,4.041251220264921,1
TD50,3,5,60,4.0943445622221,3.9781974884529063,1
TD50,3,6,60,4.0943445622221,4.182712748800862,0
TD50,3,7,60,4.0943445622221,3.783796593734731,1
TD50,3,8,60,4.0943445622221,4.205199403264283,0
TD50,3,9,60,4.0943445622221,4.172592492422947,0
TD50,3,10,60,4.0943445622221,3.5661706639127186,1
TD50,3,11,60,4.0943445622221,4.148912298457467,0
TD50,3,12,60,4.0943445622221,4.111425338830234,0
TD50,3,13,60,4.0943445622221,3.9525084809181403,1
TD50,3,14,60,4.0943445622221,3.696486524991358,1
TD50,3,15,60,4.0943445622221,3.8762795978068016,1
TD50,3,1,72,4.276666119016055,4.203622395414446,1
TD50,3,2,72,4.276666119016055,4.193659149060918,1
TD50,3,3,72,4.276666119016055,4.123145148915455,1
TD50,3,4,72,4.276666119016055,3.293610801423553,1
TD50,3,5,72,4.276666119016055,3.7670730165496797,1
TD50,3,6,72,4.276666119016055,4.075275459901944,1
TD50,3,7,72,4.276666119016055,3.5444181274682762,1
TD50,3,8,72,4.276666119016055,3.8698630504196756,1
TD50,3,9,72,4.276666119016055,3.8600031947081472,1
TD50,3,10,72,4.276666119016055,4.089215794904199,1
TD50,3,11,72,4.276666119016055,4.0057733132148075,1
TD50,3,12,72,4.276666119016055,4.608604841343265,0
TD50,3,13,72,4.276666119016055,4.280094897855183,0
TD50,3,14,72,4.276666119016055,3.7053511166086373,1
TD50,3,15,72,4.276666119016055,4.124571663537556,1
TD50,4,1,34.7,3.5467396869528134,3.6989637980950163,0
TD50,4,2,34.7,3.5467396869528134,3.9000715820781022,0
TD50,4,3,34.7,3.5467396869528134,4.294472404896741,0
TD50,4,4,34.7,3.5467396869528134,3.8400890720268808,0
TD50,4,5,34.7,3.5467396869528134,4.019863782194448,0
TD50,4,6,34.7,3.5467396869528134,4.778282281911596,0
TD50,4,7,34.7,3.5467396869528134,4.074107288789877,0
TD50,4,8,34.7,3.5467396869528134,3.9871986712435676,0
TD50,4,9,34.7,3.5467396869528134,4.016115870265262,0
TD50,4,10,34.7,3.5467396869528134,4.140802425052304,0
TD50,4,11,34.7,3.5467396869528134,4.573849373601273,0
TD50,4,12,34.7,3.5467396869528134,3.781499258716463,0
TD50,4,13,34.7,3.5467396869528134,4.040581918353371,0
TD50,4,14,34.7,3.5467396869528134,4.300656262663381,0
TD50,4,15,34.7,3.5467396869528134,4.293535407853106,0
TD50,4,1,41.7,3.730501128804756,3.842710343568874,0
TD50,4,2,41.7,3.730501128804756,3.843818760379085,0
TD50,4,3,41.7,3.730501128804756,4.061968075609487,0
TD50,4,4,41.7,3.730501128804756,3.8937712240170503,0
TD50,4,5,41.7,3.730501128804756,3.763880451178472,0
TD50,4,6,41.7,3.730501128804756,3.928021603074761,0
TD50,4,7,41.7,3.730501128804756,4.30086711933487,0
TD50,4,8,41.7,3.730501128804756,3.812916288680146,0
TD50,4,9,41.7,3.730501128804756,3.771458709942714,0
TD50,4,10,41.7,3.730501128804756,4.126653312729582,0
TD50,4,11,41.7,3.730501128804756,3.7511453656428047,0
TD50,4,12,41.7,3.730501128804756,4.242388389042061,0
TD50,4,13,41.7,3.730501128804756,4.203037312148559,0
TD50,4,14,41.7,3.730501128804756,4.093148326342447,0
TD50,4,15,41.7,3.730501128804756,4.3298055570341445,0
TD50,4,1,50,3.912023005428146,4.574073955136922,0
TD50,4,2,50,3.912023005428146,3.6954125734121175,1
TD50,4,3,50,3.912023005428146,3.9008182069415556,1
TD50,4,4,50,3.912023005428146,4.417305828431073,0
TD50,4,5,50,3.912023005428146,3.6357455627506243,1
TD50,4,6,50,3.912023005428146,4.008607938488426,0
TD50,4,7,50,3.912023005428146,3.858763914630697,1
TD50,4,8,50,3.912023005428146,3.604567024119842,1
TD50,4,9,50,3.912023005428146,4.260307000141821,0
TD50,4,10,50,3.912023005428146,4.005814573375367,0
TD50,4,11,50,3.912023005428146,4.1025721989543324,0
TD50,4,12,50,3.912023005428146,3.646338438965367,1
TD50,4,13,50,3.912023005428146,3.9650715513533545,0
TD50,4,14,50,3.912023005428146,4.041810404972304,0
TD50,4,15,50,3.912023005428146,3.825539231570799,1
TD50,4,1,60,4.0943445622221,4.184143281579356,0
TD50,4,2,60,4.0943445622221,4.4482835795003854,0
TD50,4,3,60,4.0943445622221,4.1837421827121615,0
TD50,4,4,60,4.0943445622221,3.962235786387097,1
TD50,4,5,60,4.0943445622221,3.401016747364217,1
TD50,4,6,60,4.0943445622221,4.0883046240371215,1
TD50,4,7,60,4.0943445622221,3.851955110709067,1
TD50,4,8,60,4.0943445622221,4.068474506539653,1
TD50,4,9,60,4.0943445622221,3.4393772324176,1
TD50,4,10,60,4.0943445622221,3.975863132648151,1
TD50,4,11,60,4.0943445622221,4.042255542692156,1
TD50,4,12,60,4.0943445622221,4.518093500396095,0
TD50,4,13,60,4.0943445622221,3.369472895419274,1
TD50,4,14,60,4.0943445622221,3.8632952120845587,1
TD50,4,15,60,4.0943445622221,4.335645018399642,0
TD50,4,1,72,4.276666119016055,3.879226288037366,1
TD50,4,2,72,4.276666119016055,3.5680921354127633,1
TD50,4,3,72,4.276666119016055,3.9344101809533645,1
TD50,4,4,72,4.276666119016055,4.321892415812282,0
TD50,4,5,72,4.276666119016055,4.479052238131319,0
TD50,4,6,72,4.276666119016055,4.512846081719336,0
TD50,4,7,72,4.276666119016055,4.006967295110212,1
TD50,4,8,72,4.276666119016055,4.290655462540569,0
TD50,4,9,72,4.276666119016055,4.750396520779814,0
TD50,4,10,72,4.276666119016055,4.244107985812693,1
TD50,4,11,72,4.276666119016055,3.9529547298198744,1
TD50,4,12,72,4.276666119016055,4.403849028008956,0
TD50,4,13,72,4.276666119016055,4.284750681924128,0
TD50,4,14,72,4.276666119016055,4.162830187776153,1
TD50,4,15,72,4.276666119016055,4.578746090721872,0
TD50,5,1,34.7,3.5467396869528134,4.192668120575779,0
TD50,5,2,34.7,3.5467396869528134,3.5959865945233656,0
TD50,5,3,34.7,3.5467396869528134,4.325572628252015,0
TD50,5,4,34.7,3.5467396869528134,3.9714700197320267,0
TD50,5,5,34.7,3.5467396869528134,4.301837131624244,0
TD50,5,6,34.7,3.5467396869528134,4.060587879238872,0
TD50,5,7,34.7,3.5467396869528134,4.316352884401855,0
TD50,5,8,34.7,3.5467396869528134,4.073786008090644,0
TD50,5,9,34.7,3.5467396869528134,3.7971431015828223,0
TD50,5,10,34.7,3.5467396869528134,3.9435310144666285,0
TD50,5,11,34.7,3.5467396869528134,4.171077592583198,0
TD50,5,12,34.7,3.5467396869528134,3.939516185914745,0
TD50,5,13,34.7,3.5467396869528134,4.095245261994931,0
TD50,5,14,34.7,3.5467396869528134,3.89496252776861,0
TD50,5,15,34.7,3.5467396869528134,3.958730220629913,0
TD50,5,1,41.7,3.730501128804756,3.8399238111202094,0
TD50,5,2,41.7,3.730501128804756,3.7333957200682213,0
TD50,5,3,41.7,3.730501128804756,4.344834787769322,0
TD50,5,4,41.7,3.730501128804756,4.410234389213134,0
TD50,5,5,41.7,3.730501128804756,3.888856188343013,0
TD50,5,6,41.7,3.730501128804756,4.039910981034304,0
TD50,5,7,41.7,3.730501128804756,4.266281213749447,0
TD50,5,8,41.7,3.730501128804756,3.7968316113976073,0
TD50,5,9,41.7,3.730501128804756,3.8106194650881666,0
TD50,5,10,41.7,3.730501128804756,4.107066611581617,0
TD50,5,11,41.7,3.730501128804756,3.898353939496168,0
TD50,5,12,41.7,3.730501128804756,4.179287809484856,0
TD50,5,13,41.7,3.730501128804756,4.0564696891459064,0
TD50,5,14,41.7,3.730501128804756,4.0241418747159825,0
TD50,5,15,41.7,3.730501128804756,3.631287489448204,1
TD50,5,1,50,3.912023005428146,4.1489510448363935,0
TD50,5,2,50,3.912023005428146,4.0501298640310015,0
TD50,5,3,50,3.912023005428146,4.096945561401418,0
TD50,5,4,50,3.912023005428146,4.091589650552282,0
TD50,5,5,50,3.912023005428146,3.7847181164347505,1
TD50,5,6,50,3.912023005428146,3.9055298442439526,1
TD50,5,7,50,3.912023005428146,3.6459094976206075,1
TD50,5,8,50,3.912023005428146,3.695432053214613,1
TD50,5,9,50,3.912023005428146,4.1717654322702655,0
TD50,5,10,50,3.912023005428146,3.922515130266508,0
TD50,5,11,50,3.912023005428146,4.1921620725918105,0
TD50,5,12,50,3.912023005428146,4.635833455461909,0
TD50,5,13,50,3.912023005428146,4.080760477291543,0
TD50,5,14,50,3.912023005428146,4.104305053269803,0
TD50,5,15,50,3.912023005428146,3.887078158847032,1
TD50,5,1,60,4.0943445622221,3.6382674744370114,1
TD50,5,2,60,4.0943445622221,3.5739518902382996,1
TD50,5,3,60,4.0943445622221,3.5814402925139275,1
TD50,5,4,60,4.0943445622221,4.2219102959365395,0
TD50,5,5,60,4.0943445622221,3.631781476488727,1
TD50,5,6,60,4.0943445622221,4.094148355609959,1
TD50,5,7,60,4.0943445622221,3.9486670190608293,1
TD50,5,8,60,4.0943445622221,4.263042644668043,0
TD50,5,9,60,4.0943445622221,4.13448265653833,0
TD50,5,10,60,4.0943445622221,4.301540783006102,0
TD50,5,11,60,4.0943445622221,3.8485377933629508,1
TD50,5,12,60,4.0943445622221,4.22182513242447,0
TD50,5,13,60,4.0943445622221,3.9990342734258912,1
TD50,5,14,60,4.0943445622221,4.43366225803388,0
TD50,5,15,60,4.0943445622221,3.8909842130660404,1
TD50,5,1,72,4.276666119016055,3.7973982305899887,1
TD50,5,2,72,4.276666119016055,3.989587787973352,1
TD50,5,3,72,4.276666119016055,4.383061842913118,0
TD50,5,4,72,4.276666119016055,3.9235117250286895,1
TD50,5,5,72,4.276666119016055,3.8974158032303254,1
TD50,5,6,72,4.276666119016055,4.2431860964077135,1
TD50,5,7,72,4.276666119016055,3.9027455659578947,1
TD50,5,8,72,4.276666119016055,3.6647591894206313,1
TD50,5,9,72,4.276666119016055,3.9930077788173897,1
TD50,5,10,72,4.276666119016055,4.157833277883872,1
TD50,5,11,72,4.276666119016055,4.033715224153057,1
TD50,5,12,72,4.276666119016055,3.851154888061152,1
TD50,5,13,72,4.276666119016055,3.8558361395414273,1
TD50,5,14,72,4.276666119016055,4.4123061955354155,0
TD50,5,15,72,4.276666119016055,4.330854037755126,0
TD50,6,1,34.7,3.5467396869528134,3.4818065365376385,1
TD50,6,2,34.7,3.5467396869528134,4.40390985765414,0
TD50,6,3,34.7,3.5467396869528134,3.81728001551566,0
TD50,6,4,34.7,3.5467396869528134,4.127322480959907,0
TD50,6,5,34.7,3.5467396869528134,4.524386455205063,0
TD50,6,6,34.7,3.5467396869528134,3.849688235320413,0
TD50,6,7,34.7,3.5467396869528134,3.695941496433638,0
TD50,6,8,34.7,3.5467396869528134,3.6861166264256795,0
TD50,6,9,34.7,3.5467396869528134,3.9218118046489936,0
TD50,6,10,34.7,3.5467396869528134,4.232096721713723,0
TD50,6,11,34.7,3.5467396869528134,3.753809037710185,0
TD50,6,12,34.7,3.5467396869528134,3.5166690125495847,1
TD50,6,13,34.7,3.5467396869528134,4.292363202466251,0
TD50,6,14,34.7,3.5467396869528134,4.212019172202999,0
TD50,6,15,34.7,3.5467396869528134,3.676856866035584,0
TD50,6,1,41.7,3.730501128804756,3.6283787846392426,1
TD50,6,2,41.7,3.730501128804756,3.676550026692519,1
TD50,6,3,41.7,3.730501128804756,4.289381123696581,0
TD50,6,4,41.7,3.730501128804756,4.105300361641505,0
TD50,6,5,41.7,3.730501128804756,4.399774591355941,0
TD50,6,6,41.7,3.730501128804756,4.234611284596813,0
TD50,6,7,41.7,3.730501128804756,4.30611294001894,0
TD50,6,8,41.7,3.730501128804756,3.61960599560168,1
TD50,6,9,41.7,3.730501128804756,4.444071591799345,0
TD50,6,10,41.7,3.730501128804756,4.188066661102336,0
TD50,6,11,41.7,3.730501128804756,3.8380995484157254,0
TD50,6,12,41.7,3.730501128804756,3.9908664636054203,0
TD50,6,13,41.7,3.730501128804756,4.24495354015742,0
TD50,6,14,41.7,3.730501128804756,4.235997353149058,0
TD50,6,15,41.7,3.730501128804756,4.261523133410834,0
TD50,6,1,50,3.912023005428146,3.8355899639580664,1
TD50,6,2,50,3.912023005428146,3.8892318430010087,1
TD50,6,3,50,3.912023005428146,4.398763617272826,0
TD50,6,4,50,3.912023005428146,4.059338219222755,0
TD50,6,5,50,3.912023005428146,4.1150285611279465,0
TD50,6,6,50,3.912023005428146,3.850884063254483,1
TD50,6,7,50,3.912023005428146,4.131050709182857,0
TD50,6,8,50,3.912023005428146,3.839740732122107,1
TD50,6,9,50,3.912023005428146,4.451695804741617,0
TD50,6,10,50,3.912023005428146,4.112389365528311,0
TD50,6,11,50,3.912023005428146,4.608007453457766,0
TD50,6,12,50,3.912023005428146,3.784217614532146,1
TD50,6,13,50,3.912023005428146,4.235387557661562,0
TD50,6,14,50,3.912023005428146,3.562009115146328,1
TD50,6,15,50,3.912023005428146,3.9742110133744597,0
TD50,6,1,60,4.0943445622221,4.309985314886775,0
TD50,6,2,60,4.0943445622221,4.185647553267302,0
TD50,6,3,60,4.0943445622221,3.9468837533438217,1
TD50,6,4,60,4.0943445622221,3.962423847634982,1
TD50,6,5,60,4.0943445622221,3.6728074772072246,1
TD50,6,6,60,4.0943445622221,4.313357720793717,0
TD50,6,7,60,4.0943445622221,3.9248101862040046,1
TD50,6,8,60,4.0943445622221,4.228933152562276,0
TD50,6,9,60,4.0943445622221,3.975727609264825,1
TD50,6,10,60,4.0943445622221,4.159773868722348,0
TD50,6,11,60,4.0943445622221,3.763271022625481,1
TD50,6,12,60,4.0943445622221,3.976197354422823,1
TD50,6,13,60,4.0943445622221,3.816433216322638,1
TD50,6,14,60,4.0943445622221,4.392567818067728,0
TD50,6,15,60,4.0943445622221,3.959203707966919,1
TD50,6,1,72,4.276666119016055,4.287235151074343,0
TD50,6,2,72,4.276666119016055,4.01112782131193,1
TD50,6,3,72,4.276666119016055,3.584168016762361,1
TD50,6,4,72,4.276666119016055,4.118757156667098,1
TD50,6,5,72,4.276666119016055,4.095358849485747,1
TD50,6,6,72,4.276666119016055,4.069922437139628,1
TD50,6,7,72,4.276666119016055,3.824622187290824,1
TD50,6,8,72,4.276666119016055,4.27444626597503,1
TD50,6,9,72,4.276666119016055,4.040962349750737,1
TD50,6,10,72,4.276666119016055,4.016410293000071,1
TD50,6,11,72,4.276666119016055,4.2173502916959915,1
TD50,6,12,72,4.276666119016055,4.145242681348037,1
TD50,6,13,72,4.276666119016055,4.025378919305866,1
TD50,6,14,72,4.276666119016055,3.680057286361455,1
TD50,6,15,72,4.276666119016055,4.409624681135179,0
TD50,7,1,34.7,3.5467396869528134,3.551535772715195,0
TD50,7,2,34.7,3.5467396869528134,4.0600728176158025,0
TD50,7,3,34.7,3.5467396869528134,3.861734354625868,0
TD50,7,4,34.7,3.5467396869528134,3.98311542827493,0
TD50,7,5,34.7,3.5467396869528134,3.595453175624628,0
TD50,7,6,34.7,3.5467396869528134,4.19390788930205,0
TD50,7,7,34.7,3.5467396869528134,3.9977563158581844,0
TD50,7,8,34.7,3.5467396869528134,3.8790332787007893,0
TD50,7,9,34.7,3.5467396869528134,3.7341619254103917,0
TD50,7,10,34.7,3.5467396869528134,4.2794123628120015,0
TD50,7,11,34.7,3.5467396869528134,3.6596446639485762,0
TD50,7,12,34.7,3.5467396869528134,4.209936233312588,0
TD50,7,13,34.7,3.5467396869528134,3.680267398203033,0
TD50,7,14,34.7,3.5467396869528134,4.704938689873342,0
TD50,7,15,34.7,3.5467396869528134,4.157060615239427,0
TD50,7,1,41.7,3.730501128804756,3.747745576519323,0
TD50,7,2,41.7,3.730501128804756,4.30219861288616,0
TD50,7,3,41.7,3.730501128804756,4.125290018667563,0
TD50,7,4,41.7,3.730501128804756,3.9529791486428656,0
TD50,7,5,41.7,3.730501128804756,3.9549665496286055,0
TD50,7,6,41.7,3.730501128804756,4.714865067396306,0
TD50,7,7,41.7,3.730501128804756,4.135790983411092,0
TD50,7,8,41.7,3.730501128804756,3.999514520249727,0
TD50,7,9,41.7,3.730501128804756,4.006331235884,0
